x,y,label
-0.330138127,9.865945799,1
-1.679494641,-7.94523366,-1
1.513844515,8.847105818,1
0.433968974,8.298894907,1
5.613852199,9.452130182,1
-8.074653814,2.586806618,-1
-6.465103691,-3.205964385,-1
-5.034753496,-0.25532082,-1
6.238305727,0.731769306,1
-2.222778213,-0.384283354,-1
-5.216462618,0.290296623,-1
3.013866874,-8.457648989,-1
-4.60708149,1.417586667,-1
-7.004997553,-0.354570498,-1
-3.509539019,-1.783220692,-1
-8.39590385,3.957797285,-1
9.868583962,6.465569404,1
1.379985905,5.392255392,1
7.140311024,0.269124831,1
4.784647709,-4.893535601,1
-2.813605466,-7.224430996,-1
-5.047158633,3.676909848,-1
3.731890539,-0.436453081,1
5.722762379,0.808682315,1
5.160700867,-3.636764349,1
-0.474985848,7.940256828,1
8.579765209,-0.361131413,1
-6.340101046,-8.677036794,-1
4.542723319,-8.578347939,1
5.172045435,-4.853885093,1
6.953803839,7.743528101,1
7.635977404,2.341673768,1
-7.735021565,6.360223282,-1
6.129968698,-1.275561814,1
-5.262026673,2.962246046,-1
2.262925146,8.356652727,1
9.839876484,8.273246864,1
-3.866489541,8.084038059,1
9.713655217,-9.956559482,1
3.395270641,-2.440141589,1
6.220689706,-1.280750366,1
0.358495237,6.655207239,1
-8.843992752,2.352199475,-1
3.145126599,-2.205512437,1
5.126090279,-2.026687807,1
-0.813858417,2.438586418,1
7.915507501,6.949470049,1
-6.519589866,5.012061444,-1
1.112888084,5.712588441,1
-1.266861669,-4.09249902,-1
6.139496549,-1.950483958,1
-1.941230897,-4.105174323,-1
7.975870901,-5.847994636,1
-0.860109855,3.71588959,1
-8.702299009,-7.793722917,-1
5.144698774,-5.114568625,1
3.729295122,-0.79598223,1
-3.713312639,-4.991653739,-1
-1.323794065,-1.772094768,-1
-0.190817996,2.752048562,1
-9.435116831,-9.168802508,-1
1.663510213,-5.976683614,-1
4.750808811,-4.306142141,1
-1.536502843,7.361556759,1
5.812551685,9.450342274,1
1.366521257,-0.063987393,1
9.750453553,-8.108213953,1
-6.965534576,-1.532211785,-1
4.722789019,1.573284449,1
0.049340859,-4.142523326,-1
-5.292262436,-1.862212166,-1
0.714550304,-0.067304858,1
-2.339220742,5.849069484,1
-9.121660845,-2.631547406,-1
6.798075955,8.450403017,1
4.676905508,-4.576301865,1
3.811326801,-7.4918078,1
6.033603494,8.997076644,1
-4.930294806,-5.497774022,-1
0.519992781,9.37300935,1
-4.272937318,7.749174723,1
7.695028828,-0.641559934,1
-7.136612535,1.198733234,-1
-2.9776214,-6.408679963,-1
-9.341696325,8.562691086,-1
6.004803,1.581374637,1
2.958547488,4.484777568,1
1.22921929,5.996349063,1
-0.497432595,8.273960994,1
2.226436353,3.848739251,1
9.577509424,0.063211475,1
-6.873909473,-6.606372515,-1
3.90964065,8.385655375,1
8.447063769,1.500372264,1
8.470125637,6.546959191,1
1.123193661,9.223496001,1
4.388460543,5.543694192,1
3.028887676,5.776035525,1
0.052931834,9.48389166,1
